champion_name,wins,losses,kills_assists,deaths,date
Jhin,1,3,64,7,1616789538444
Caitlyn,5,2,113,46,1616789538444
Kaisa,5,2,77,47,1616789538444
Viego,0,2,49,12,1616789538444
Katarina,0,2,29,6,1616789538444
Poppy,0,2,34,15,1616789538444
Karma,0,2,45,8,1616789538444
Yone,0,2,44,17,1616789538444
Orianna,0,2,40,13,1616789538444
Riven,1,2,68,23,1616789538444
Yasuo,1,2,49,26,1616789538444
Volibear,1,2,42,11,1616789538444
Fizz,1,2,46,17,1616789538444
Nami,0,2,62,9,1616789538444
Vayne,4,2,105,53,1616789538444
Thresh,3,2,68,30,1616789538444
Khazix,2,1,51,18,1616789538444
Nasus,0,1,34,5,1616789538444
Garen,3,1,46,24,1616789538444
Nocturne,3,1,46,27,1616789538444
Lux,3,1,66,19,1616789538444
Veigar,1,1,28,7,1616789538444
Corki,1,1,30,6,1616789538444
Amumu,1,1,50,6,1616789538444
Morgana,1,1,32,13,1616789538444
DrMundo,1,1,39,12,1616789538444
Singed,1,1,15,12,1616789538444
Renekton,1,1,35,15,1616789538444
Lucian,1,1,18,12,1616789538444
Hecarim,3,1,86,19,1616789538444
Zoe,0,1,20,8,1616789538444
Syndra,0,1,14,2,1616789538444
Alistar,2,1,45,18,1616789538444
Soraka,0,1,30,8,1616789538444
Nautilus,0,1,20,8,1616789538444
Senna,0,1,21,2,1616789538444
Jayce,0,1,7,6,1616789538444
Sivir,0,1,16,3,1616789538444
Graves,0,1,25,5,1616789538444
Olaf,0,1,14,3,1616789538444
Tryndamere,0,1,15,6,1616789538444
Aphelios,0,1,10,5,1616789538444
JarvanIV,0,1,21,5,1616789538444
Sejuani,0,1,17,2,1616789538444
Shaco,1,1,29,19,1616789538444
Camille,2,1,36,16,1616789538444
Talon,2,1,64,22,1616789538444
Anivia,2,1,64,17,1616789538444
Malzahar,2,0,15,12,1616789538444
Akali,1,0,12,5,1616789538444
Zac,1,0,8,8,1616789538444
Leona,1,0,15,11,1616789538444
Chogath,2,0,26,8,1616789538444
Lulu,4,0,43,29,1616789538444
Teemo,4,0,34,20,1616789538444
Jax,2,0,11,12,1616789538444
Fiora,2,0,8,11,1616789538444
Viktor,1,0,17,6,1616789538444
Blitzcrank,1,0,14,9,1616789538444
Galio,2,0,28,14,1616789538444
Tristana,2,0,7,8,1616789538444
Evelynn,2,0,52,16,1616789538444
Ezreal,2,0,14,8,1616789538444
Ekko,2,0,15,12,1616789538444
Ashe,2,0,33,18,1616789538444
Rakan,2,0,37,18,1616789538444
MasterYi,1,0,9,8,1616789538444
Lillia,3,0,29,26,1616789538444
Ryze,1,0,2,6,1616789538444
Xayah,1,0,9,9,1616789538444
MissFortune,1,0,32,9,1616789538444
AurelionSol,1,0,11,10,1616789538444
Ahri,1,0,15,3,1616789538444
Rengar,1,0,10,6,1616789538444
Lissandra,1,0,19,14,1616789538444
Shen,2,0,38,17,1616789538444
Pyke,1,0,15,6,1616789538444
Darius,1,0,11,8,1616789538444
Sona,1,0,13,5,1616789538444
Qiyana,3,0,39,24,1616789538444
Elise,1,0,14,8,1616789538444
Swain,1,0,8,12,1616789538444
Rammus,1,0,22,7,1616789538444
Velkoz,1,0,12,5,1616789538444
Udyr,1,0,16,3,1616789538444
Annie,1,0,16,7,1616789538444
Leblanc,1,0,2,4,1616789538444
Samira,1,0,30,7,1616789538444
